"Type","Question","Field","Year","Value","Label","Reversed"
"SelectOne","What type of Nebraska fishing permit did you have during the 2002 license year?","A1",2002,1,"Resident annual fish",FALSE
"SelectOne","What type of Nebraska fishing permit did you have during the 2002 license year?","A1",2002,2,"Resident 3-day fish",FALSE
"SelectOne","What type of Nebraska fishing permit did you have during the 2002 license year?","A1",2002,3,"Resident hunt/fish",FALSE
"SelectOne","What type of Nebraska fishing permit did you have during the 2002 license year?","A1",2002,4,"Lifetime fish",FALSE
"SelectOne","What type of Nebraska fishing permit did you have during the 2002 license year?","A1",2002,5,"Lifetime fish & hunt",FALSE
"SelectOne","What type of Nebraska fishing permit did you have during the 2002 license year?","A1",2002,6,"Fee-exempt permit",FALSE
"SelectOne","What type of Nebraska fishing permit did you have during the 2002 license year?","A1",2002,7,"Non-resident annual fish",FALSE
"SelectOne","What type of Nebraska fishing permit did you have during the 2002 license year?","A1",2002,8,"Non-resident 3-day fish",FALSE
"SelectOne","What type of Nebraska fishing permit did you have during the 2002 license year?","A1",2002,9,"I did not have a permit",FALSE
"SelectOne","What type of Nebraska fishing permit did you have during the 2012 license year?","A1",2012,1,"Resident annual fish",FALSE
"SelectOne","What type of Nebraska fishing permit did you have during the 2012 license year?","A1",2012,2,"Resident 3-day fish",FALSE
"SelectOne","What type of Nebraska fishing permit did you have during the 2012 license year?","A1",2012,3,"Resident hunt/fish",FALSE
"SelectOne","What type of Nebraska fishing permit did you have during the 2012 license year?","A1",2012,6,"Fee-exempt permit",FALSE
"SelectOne","What type of Nebraska fishing permit did you have during the 2012 license year?","A1",2012,7,"Non-resident annual fish",FALSE
"SelectOne","What type of Nebraska fishing permit did you have during the 2012 license year?","A1",2012,8,"Non-resident 3-day fish",FALSE
"SelectOne","What type of Nebraska fishing permit did you have during the 2012 license year?","A1",2012,9,"I did not have a permit",FALSE
"SelectOne","What type of Nebraska fishing permit did you have during the 2012 license year?","A1",2012,10,"Resident 1-day fish",FALSE
"SelectOne","What type of Nebraska fishing permit did you have during the 2012 license year?","A1",2012,11,"Resident lifetime",FALSE
"SelectOne","What type of Nebraska fishing permit did you have during the 2012 license year?","A1",2012,12,"Senior hunt/fish",FALSE
"SelectOne","What type of Nebraska fishing permit did you have during the 2012 license year?","A1",2012,13,"Veteran annual hunt/fish",FALSE
"SelectOne","What type of Nebraska fishing permit did you have during the 2012 license year?","A1",2012,14,"Non-resident hunt/fish",FALSE
"SelectOne","What type of Nebraska fishing permit did you have during the 2012 license year?","A1",2012,15,"Non-resident 1-day fish",FALSE
"SelectOne","What type of Nebraska fishing permit did you have during the 2012 license year?","A1",2012,16,"Non-resident lifetime",FALSE
"SelectOne","What type of Nebraska fishing permit did you have during the 2012 license year?","A1",2012,999,"No Answer",FALSE
"SelectOne","What type of Nebraska fishing permit did you have during the 2018 license year?","A1",2018,1,"Resident annual fish",FALSE
"SelectOne","What type of Nebraska fishing permit did you have during the 2018 license year?","A1",2018,2,"Resident 3-day fish",FALSE
"SelectOne","What type of Nebraska fishing permit did you have during the 2018 license year?","A1",2018,3,"Resident hunt/fish",FALSE
"SelectOne","What type of Nebraska fishing permit did you have during the 2018 license year?","A1",2018,6,"Fee-exempt permit",FALSE
"SelectOne","What type of Nebraska fishing permit did you have during the 2018 license year?","A1",2018,7,"Non-resident annual fish",FALSE
"SelectOne","What type of Nebraska fishing permit did you have during the 2018 license year?","A1",2018,8,"Non-resident 3-day fish",FALSE
"SelectOne","What type of Nebraska fishing permit did you have during the 2018 license year?","A1",2018,9,"I did not have a permit",FALSE
"SelectOne","What type of Nebraska fishing permit did you have during the 2018 license year?","A1",2018,10,"Resident 1-day fish",FALSE
"SelectOne","What type of Nebraska fishing permit did you have during the 2018 license year?","A1",2018,11,"Resident lifetime",FALSE
"SelectOne","What type of Nebraska fishing permit did you have during the 2018 license year?","A1",2018,12,"Senior hunt/fish",FALSE
"SelectOne","What type of Nebraska fishing permit did you have during the 2018 license year?","A1",2018,13,"Veteran annual hunt/fish",FALSE
"SelectOne","What type of Nebraska fishing permit did you have during the 2018 license year?","A1",2018,14,"Non-resident hunt/fish",FALSE
"SelectOne","What type of Nebraska fishing permit did you have during the 2018 license year?","A1",2018,15,"Non-resident 1-day fish",FALSE
"SelectOne","What type of Nebraska fishing permit did you have during the 2018 license year?","A1",2018,16,"Non-resident lifetime",FALSE
"SelectOne","What type of Nebraska fishing permit did you have during the 2018 license year?","A1",2018,17,"Resident 3-year fish",FALSE
"SelectOne","What type of Nebraska fishing permit did you have during the 2018 license year?","A1",2018,18,"Resident 5-year fish",FALSE
"SelectOne","What type of Nebraska fishing permit did you have during the 2018 license year?","A1",2018,19,"Non-resident 3-year fish",FALSE
"SelectOne","What type of Nebraska fishing permit did you have during the 2018 license year?","A1",2018,20,"Non-resident 5-year fish",FALSE
"SelectOne","What type of Nebraska fishing permit did you have during the 2018 license year?","A1",2018,21,"Resident 3-year hunt/fish",FALSE
"SelectOne","What type of Nebraska fishing permit did you have during the 2018 license year?","A1",2018,22,"Resident 5-year hunt/fish",FALSE
"SelectOne","What type of Nebraska fishing permit did you have during the 2018 license year?","A1",2018,23,"Resident lifetime hunt/fish",FALSE
"SelectOne","What type of Nebraska fishing permit did you have during the 2018 license year?","A1",2018,24,"Non-resident 3-year hunt/fish",FALSE
"SelectOne","What type of Nebraska fishing permit did you have during the 2018 license year?","A1",2018,25,"Non-resident 5-year hunt/fish",FALSE
"SelectOne","What type of Nebraska fishing permit did you have during the 2018 license year?","A1",2018,26,"Non-resident lifetime hunt/fish",FALSE
"SelectOne","What type of Nebraska fishing permit did you have during the 2018 license year?","A1",2018,27,"Deployed military",FALSE
"SelectOne","What type of Nebraska fishing permit did you have during the 2018 license year?","A1",2018,999,"No Answer",FALSE
"SelectOne","What type of Nebraska fishing permit did you have during the 2025 license year?","A1",2025,10,"Resident 1-day fish",FALSE
"SelectOne","What type of Nebraska fishing permit did you have during the 2025 license year?","A1",2025,2,"Resident 3-day fish",FALSE
"SelectOne","What type of Nebraska fishing permit did you have during the 2025 license year?","A1",2025,17,"Resident 3-year fish",FALSE
"SelectOne","What type of Nebraska fishing permit did you have during the 2025 license year?","A1",2025,1,"Resident annual fish",FALSE
"SelectOne","What type of Nebraska fishing permit did you have during the 2025 license year?","A1",2025,18,"Resident 5-year fish",FALSE
"SelectOne","What type of Nebraska fishing permit did you have during the 2025 license year?","A1",2025,11,"Resident Lifetime fish",FALSE
