Response,Label
0,0
1,1
2,2
3,3
4,4
5,5
7,6-8
10,9-11
13,12-14
16,15-17
19,18-20
21,20+
C1Jan_days,January
C1Feb_days,February
C1Mar_days,March
C1Apr_days,April
C1May_days,May
C1June_days,June
C1July_days,July
C1Aug_days,August
C1Sept_days,September
C1Oct_days,October
C1Total_days,Total (Jan-Oct)
B3stb,Striped bass
B3wpr,Wiper
B3whb,White bass
B3lmb,Largemouth bass
B3smb,Smallmouth bass
B3sun,Bluegill/Sunfish
B3crp,Crappie
B3ywp,Yellow perch
B3wae,Walleye/Sauger
B3ntp,Northern pike
B3musk,Muskellunge/Tiger muskie
B3ccf,Channel catfish
B3bcf,Blue catfish
B3fcf,Flathead catfish
B3bh,Bullhead
B3fwd,Drum
B3stur,Sturgeon
B3carp,Common Carp
B3aCarp,Invasive Carp
B3rbt,Trout
B3pdf,Paddlefish
B3any,Other
B3oth,I fished for anything
motivation_pp,Physical and psycological
motivation_natural,Natural environment
motivation_social,Social
motivation_resource,Fishery resource
motivation_catch,Catch Motivations
motivation_noncatch,Non-catch Motivations
attitude_catch,Catch Something
attitude_numbers,Numbers
attitude_size,Size
attitude_harvest,Harvest
reg_complexity,Complexity and Confusion
reg_trust,Trust
reg_objectives,Objectives
A14worm, Worms
A14leech, Leeches
A14craw, Crawfish
A14frog, Frogs
A14fish, Live fish
A17priv, Private lands and access
A17pub, Public lands and access
A17justPriv, Only Used Private lands and access
A17justPub, Only Used Public lands and access
A17both, Both Public and Private lands and access
D13oga, Lake Ogallala, Keystone Canel, and the associate North Platte River
D13tr, Two Rivers Trout Lake
D13rsc, Other rivers, streams, and canals
D13lrp, Other lakes, reservoirs, and ponds
barriers_access, Access Barriers
barriers_time, Time Barriers
barriers_social, Social Barriers
barriers_knowledge, Knowledge Barriers
barriers_cost, Cost Barriers
B2stb,Striped bass
B2wpr,Wiper
B2whb,White bass
B2lmb,Largemouth bass
B2smb,Smallmouth bass
B2sun,Bluegill/Sunfish
B2crp,Crappie
B2ywp,Yellow perch
B2wae,Walleye/Sauger
B2ntp,Northern pike
B2musk,Muskellunge/Tiger muskie
B2ccf,Channel catfish
B2bcf,Blue catfish
B2fcf,Flathead catfish
B2bh,Bullhead
B2fwd,Drum
B2stur,Sturgeon
B2carp,Common Carp
B2aCarp,Invasive Carp
B2rbt,Trout
B2pdf,Paddlefish
B2any,Other
B2oth,I fished for anything
Q18a,In Nebraska
Q18b,Outside Nebraska
Q23_1,How often you chose to go fishing
Q23_2,What lakes, reservoirs, pits, or ponds you chose to fish
Q23_3,What rivers, streams, or canals you chose to fish
Q28_1, Bluegill/Sunfish
Q28_2, Crappie
Q28_3, Yellow Perch
Q29_1, Bluegill/Sunfish
Q29_2, Crappie
Q29_3, Yellow Perch
